raw_key,key,parten,len
总资产周转率,总资产周转率,总资产周转率,1
资产周转率,资产周转率,总资产周转率,1
资产收益率,资产收益率,资产收益率,1
总资产收益率,总资产收益率,资产收益率,1
资本收益率,资本收益率,资产收益率,1
资产及负债状况,资产及负债状况,资产及负债状况,1
资产和负债变化主要原因,资产和负债变化主要原因,资产和负债变化主要原因,1
资产负债率,资产负债率,资产负债率,1
主营业务,主营业务,主营业务,1
主要资产重大变化情况,主要资产重大变化情况,主要资产重大变化情况,1
主要销售客户客户集中度,主要销售客户客户集中度,主要销售客户客户集中度,1
主要销售客户及主要供应商情况,主要销售客户及主要供应商情况,主要销售客户及主要供应商情况,1
主要销售客户,主要销售客户,主要销售客户,1
主要控股参股公司分析,主要控股参股公司分析,主要控股参股公司分析,1
主要会计数据及财务指标,主要会计数据及财务指标,主要会计数据及财务指标,1
主要产品,主要产品,主要产品,1
重大资产,重大资产,重大资产,1
重大诉讼、仲裁事项情况,重大诉讼、仲裁事项情况,重大诉讼、仲裁事项情况,1
重大诉讼、仲裁事项,重大诉讼、仲裁事项,重大诉讼、仲裁事项,1
重大环保问题,重大环保问题,重大环保问题,1
重大合同及其履行,重大合同及其履行,重大合同及其履行,1
重大股权投资情况,重大股权投资情况,重大股权投资情况,1
重大关联交易情况,重大关联交易情况,重大关联交易情况,1
重大关联交易,重大关联交易,重大关联交易,1
员工情况,员工情况,员工情况,1
营业收入变动趋势,营业收入变动趋势,营业收入变动趋势,1
营业收入变动情况及原因,营业收入变动情况及原因,营业收入变动情况及原因,1
应付股利,应付股利,应付股利,1
应付分红,应付分红,应付股利,1
应发股利,应发股利,应付股利,1
应派股利,应派股利,应付股利,1
有待支付的股息,有待支付股息,应付股利,1
必须支付的分红,必须支付分红,应付股利,1
待付股息,待付股息,应付股利,1
应付的股息分配,应付股息分配,应付股利,1
应当分配的股利,应当分配股利,应付股利,1
应支付的利润分红,应支付利润分红,应付股利,1
应收账款周转天数,应收账款周转天数,应收账款周转天数,1
应付账款周转天数,应付账款周转天数,应付账款周转天数,1
应付账款周转率,应付账款周转率,应付账款周转率,1
研发投入情况,研发投入情况,研发投入情况,1
研发投入变动情况及原因,研发投入变动情况及原因,研发投入变动情况及原因,1
薪酬情况,薪酬情况,薪酬情况,1
经营性现金流量净额,经营性现金流量净额,经营性现金流量净额,1
现金流量覆盖率,现金流量覆盖率,现金流量覆盖率,1
现金流量,现金流量,现金流量,1
现金流,现金流,现金流,1
现金及现金等价物,现金及现金等价物,现金及现金等价物,1
未来发展展望,未来发展展望,未来发展展望,1
外币报表折算,外币报表折算,外币报表折算,1
外币业务,外币业务,外币业务,1
投资收益变动原因,投资收益变动原因,投资收益变动原因,1
提到了哪些诉讼风险,提到了哪些诉讼风险,提到了哪些诉讼风险,1
所处行业地位情况,所处行业地位情况,所处行业地位情况,1
实控人,实控人,实控人,1
实际控制人,实际控制人,实际控制人,1
是否涉及重大诉讼、仲裁事项,是否涉及重大诉讼、仲裁事项,是否涉及重大诉讼、仲裁事项,1
社会责任工作情况,社会责任工作情况,社会责任工作情况,1
社会责任,社会责任,社会责任,1
审计意见,审计意见,审计意见,1
审计报告中审计意见及成因,审计报告中审计意见及成因,审计报告中审计意见及成因,1
审计报告中关键审计事项,审计报告中关键审计事项,审计报告中关键审计事项,1
破产重整相关事项,破产重整相关事项,破产重整相关事项,1
聘任、解聘会计师事务所,聘任、解聘会计师事务所,聘任、解聘会计师事务所,1
聘任、解聘会计师事务情况,聘任、解聘会计师事务情况,聘任、解聘会计师事务情况,1
年报，公司审计意见情况如何,年报，公司审计意见情况如何,年报，公司审计意见情况如何,1
面临退市,面临退市,面临退市,1
控股股东是否发生变更,控股股东是否发生变更,控股股东是否发生变更,1
控股股东及实控人,控股股东及实控人,控股股东及实控人,1
控股股东及实际控制人情况,控股股东及实际控制人情况,控股股东及实际控制人情况,1
及其控股股东、实际控制人诚信状况,及其控股股东、实际控制人诚信状况,及其控股股东、实际控制人诚信状况,1
经营情况,经营情况,经营情况,1
经营模式,经营模式,经营模式,1
环境信息,环境信息,环境信息,1
核心竞争力,核心竞争力,核心竞争力,1
合并报表范围发生变化,合并报表范围发生变化,合并报表范围发生变化,1
行业情况,行业情况,行业情况,1
行业发展情况及公司所处行业地位如何,行业发展情况及公司所处行业地位如何,行业发展情况及公司所处行业地位如何,1
股权激励计划、员工持股计划或其他员工激励措施,股权激励计划、员工持股计划或其他员工激励措施,股权激励计划、员工持股计划或其他员工激励措施,1
股权出售,股权出售,股权出售,1
规划下一年度经营计划,规划下一年度经营计划,规划下一年度经营计划,1
关键审计事项,关键审计事项,关键审计事项,1
供应商集中度,供应商集中度,供应商集中度,1
风险情况,风险情况,风险情况,1
非主营业务金额变化原因,非主营业务金额变化原因,非主营业务金额变化原因,1
费用变化原因,费用变化原因,费用变化原因,1
非经常性损益,非经常性损益,非经常性损益,1
非标准审计报告,非标准审计报告,非标准审计报告,1
发展战略及经营计划,发展战略及经营计划,发展战略及经营计划,1
董事、监事、高级管理人员年龄分布,董事、监事、高级管理人员年龄分布,董事、监事、高级管理人员年龄分布,1
董事、监事、高级管理人员变动,董事、监事、高级管理人员变动,董事、监事、高级管理人员变动,1
董事、监事、高级管理人员报酬情况,董事、监事、高级管理人员报酬情况,董事、监事、高级管理人员报酬情况,1
董事、监事、高级管理人员,董事、监事、高级管理人员,董事、监事、高级管理人员,1
董事会会议议案,董事会会议议案,董事会会议议案,1
董事长致辞中提到了哪些主要内容是否涉及了重大创新,董事长致辞中提到了哪些主要内容是否涉及了重大创新,董事长致辞中提到了哪些主要内容是否涉及了重大创新,1
地位情况,地位情况,地位情况,1
从事主要业务,从事主要业务,从事主要业务,1
处罚及整改,处罚及整改,处罚及整改,1
长期资产减值,长期资产减值,长期资产减值,1
财务指标,财务指标,财务指标,1
租赁负债,租赁负债,租赁负债,1
租赁欠款,租赁欠款,租赁负债,1
租赁债务,租赁债务,租赁负债,1
租入负债,租入负债,租赁负债,1
租借负债,租借负债,租赁负债,1
租赁负债总额,租赁负债总额,租赁负债,1
租借债务,租借债务,租赁负债,1
租赁债权,租赁债权,租赁负债,1
租赁债券,租赁债券,租赁负债,1
租借欠款,租借欠款,租赁负债,1
总资产增长率,总资产增长率,总资产增长率,1
总资产增值率,总资产增值率,总资产增长率,1
总资产提升率,总资产提升率,总资产增长率,1
总资产增进率,总资产增进率,总资产增长率,1
资产总额增长率,资产总额增长率,总资产增长率,1
全资产增长率,全资产增长率,总资产增长率,1
资产总计增长率,资产总计增长率,总资产增长率,1
全体资产增长率,全体资产增长率,总资产增长率,1
资产全数增长率,资产全数增长率,总资产增长率,1
总资产的增长程度,总资产增长程度,总资产增长率,1
总资产,总资产,资产总计,1
资产总金额,资产总金额,资产总计,1
资产总计,资产总计,资产总计,1
资产总额,资产总额,资产总计,1
资产合计,资产合计,资产总计,1
资产总量,资产总量,资产总计,1
资产总值,资产总值,资产总计,1
全部资产,全部资产,资产总计,1
总体资产,总体资产,资产总计,1
资产全额,资产全额,资产总计,1
资产总数,资产总数,资产总计,1
综合收益总额,综合收益总额,综合收益总额,1
综合收益,综合收益,综合收益总额,1
总体收益总额,总体收益总额,综合收益总额,1
总合收益量,总合收益量,综合收益总额,1
综合收入总额,综合收入总额,综合收益总额,1
总收益总数,总收益总数,综合收益总额,1
综合总收益,综合总收益,综合收益总额,1
综合获利总额,综合获利总额,综合收益总额,1
综合益利总值,综合益利总值,综合收益总额,1
总体综合收益,总体综合收益,综合收益总额,1
全部综合收益,全部综合收益,综合收益总额,1
总负债增长率,总负债增长率,总负债增长率,1
负债总额增速,负债总额增速,总负债增长率,1
全体负债增长比例,全体负债增长比例,总负债增长率,1
总债务增速,总债务增速,总负债增长率,1
全部负债的增加速度,全部负债增加速度,总负债增长率,1
全额负债增长百分比,全额负债增长百分比,总负债增长率,1
负债总计增长比例,负债总计增长比例,总负债增长率,1
负债总量的增长速度,负债总量增长速度,总负债增长率,1
总的债务增加率,总债务增加率,总负债增长率,1
全部债务的增长百分比,全部债务增长百分比,总负债增长率,1
总负债,总负债,负债合计,1
负债合计,负债合计,负债合计,1
负债总额,负债总额,负债合计,1
负债总计,负债总计,负债合计,1
全部负债,全部负债,负债合计,1
负债总数,负债总数,负债合计,1
总体负债,总体负债,负债合计,1
累计负债,累计负债,负债合计,1
合计负债,合计负债,负债合计,1
全额负债,全额负债,负债合计,1
负债总金额,负债总金额,负债合计,1
子公司支付给少数股东的股利、利润,子公司支付给少数股东股利、利润,子公司支付给少数股东的股利、利润,1
子公司吸收少数股东投资收到的现金,子公司吸收少数股东投资收到现金,子公司吸收少数股东投资收到的现金,1
资产减值损失,资产减值损失,资产减值损失,1
资产减值的损失,资产减值损失,资产减值损失,1
资产减损,资产减损,资产减值损失,1
资产折旧损失,资产折旧损失,资产减值损失,1
资产损耗,资产损耗,资产减值损失,1
财产减值损失,财产减值损失,资产减值损失,1
减值损失,减值损失,资产减值损失,1
减损,减损,资产减值损失,1
资金减值损失,资金减值损失,资产减值损失,1
资产的减值损失,资产减值损失,资产减值损失,1
资产负债比率,资产负债比率,资产负债比率,1
负债占资产比率,负债占资产比率,资产负债比率,1
负债和资产的比率,负债和资产比率,资产负债比率,1
资产与负债的比例,资产与负债比例,资产负债比率,1
资负比,资负比,资产负债比率,1
负债对资产的比例,负债对资产比例,资产负债比率,1
净资产比率,净资产比率,资产负债比率,1
负债比资产的比例,负债比资产比例,资产负债比率,1
资产负债比值,资产负债比值,资产负债比率,1
相对负债比率,相对负债比率,资产负债比率,1
资产处置收益,资产处置收益,资产处置收益,1
资产处理收益,资产处理收益,资产处置收益,1
资产清理收益,资产清理收益,资产处置收益,1
处置资产收益,处置资产收益,资产处置收益,1
处理资产收益,处理资产收益,资产处置收益,1
清理资产收益,清理资产收益,资产处置收益,1
收益自资产处置,收益自资产处置,资产处置收益,1
收益自资产处理,收益自资产处理,资产处置收益,1
收益自资产清理,收益自资产清理,资产处置收益,1
出售资产收益,出售资产收益,资产处置收益,1
资本化研发支出占研发投入的比例,资本化研发支出占研发投入比例,资本化研发支出占研发投入的比例,1
资本化研发支出占当期净利润的比重,资本化研发支出占当期净利润比重,资本化研发支出占当期净利润的比重,1
资本公积,资本公积,资本公积,1
资本储蓄,资本储蓄,资本公积,1
资金公积,资金公积,资本公积,1
储备资本,储备资本,资本公积,1
公积金,公积金,资本公积,1
储备基金,储备基金,资本公积,1
资本积累,资本积累,资本公积,1
资本储备,资本储备,资本公积,1
留存资本,留存资本,资本公积,1
公积资本,公积资本,资本公积,1
主要子公司在职员工的数量,主要子公司在职员工数量,主要子公司在职员工的数量,1
注册地址的邮政编码,注册地址邮政编码,注册地址的邮政编码,1
注册地址,注册地址,注册地址,1
登记地址,登记地址,注册地址,1
注册地,注册地,注册地址,1
登记地,登记地,注册地址,1
注册所在地,注册所在地,注册地址,1
登记所在地,登记所在地,注册地址,1
公司注册地址,公司注册地址,注册地址,1
公司登记地址,公司登记地址,注册地址,1
注册办公地址,注册办公地址,注册地址,1
登记办公地址,登记办公地址,注册地址,1
专业构成类别,专业构成类别,专业构成类别,1
专业种类构成,专业种类构成,专业构成类别,1
专业类型构成,专业类型构成,专业构成类别,1
专业构成种类,专业构成种类,专业构成类别,1
专业类型组成,专业类型组成,专业构成类别,1
专业构成方式,专业构成方式,专业构成类别,1
构成的专业类别,构成专业类别,专业构成类别,1
专业组成类别,专业组成类别,专业构成类别,1
专业构成的类型,专业构成类型,专业构成类别,1
构成的专业类型,构成专业类型,专业构成类别,1
专业构成,专业构成,专业构成,1
专业组成,专业组成,专业构成,1
专业结构,专业结构,专业构成,1
专业配置,专业配置,专业构成,1
专业组合,专业组合,专业构成,1
专业分布,专业分布,专业构成,1
专业形态,专业形态,专业构成,1
专业构造,专业构造,专业构成,1
专业组织,专业组织,专业构成,1
专业排布,专业排布,专业构成,1
专项储备,专项储备,专项储备,1
特定储备,特定储备,专项储备,1
专用储备,专用储备,专项储备,1
特别储备,特别储备,专项储备,1
专项准备金,专项准备金,专项储备,1
特别准备金,特别准备金,专项储备,1
专门储备,专门储备,专项储备,1
项目储备,项目储备,专项储备,1
专项储备金,专项储备金,专项储备,1
特定准备金,特定准备金,专项储备,1
专科及以下,专科及以下,专科及以下,1
专科学历或以下,专科学历或以下,专科及以下,1
专科及以下学历,专科及以下学历,专科及以下,1
专科及其以下,专科及其以下,专科及以下,1
专科及以下教育,专科及以下教育,专科及以下,1
专科以下,专科以下,专科及以下,1
专科或以下,专科或以下,专科及以下,1
专科及以下程度,专科及以下程度,专科及以下,1
以下专科,以下专科,专科及以下,1
及以下专科,及以下专科,专科及以下,1
终止经营净利润,终止经营净利润,终止经营净利润,1
停止经营净利润,停止经营净利润,终止经营净利润,1
终结经营净利润,终结经营净利润,终止经营净利润,1
终止业务净利润,终止业务净利润,终止经营净利润,1
结束经营净利润,结束经营净利润,终止经营净利润,1
停业净利润,停业净利润,终止经营净利润,1
终止营业净利润,终止营业净利润,终止经营净利润,1
终止运营净利润,终止运营净利润,终止经营净利润,1
停止营业净利润,停止营业净利润,终止经营净利润,1
终结营业净利润,终结营业净利润,终止经营净利润,1
停止运营净利润,停止运营净利润,终止经营净利润,1
重新计量设定受益计划变动额,重新计量设定受益计划变动额,重新计量设定受益计划变动额,1
中文简称,中文简称,公司的中文简称,1
公司中文简称,公司中文简称,公司的中文简称,1
公司简称,公司简称,公司的中文简称,1
简称,简称,公司的中文简称,1
企业简称,企业简称,公司的中文简称,1
中文公司名,中文公司名,公司的中文简称,1
简短中文名,简短中文名,公司的中文简称,1
中文名简称,中文名简称,公司的中文简称,1
公司简短名称,公司简短名称,公司的中文简称,1
简化中文公司名,简化中文公司名,公司的中文简称,1
质押贷款净增加额,质押贷款净增加额,质押贷款净增加额,1
抵押贷款净增值,抵押贷款净增值,质押贷款净增加额,1
质押借款净增额,质押借款净增额,质押贷款净增加额,1
抵押借款净增加额,抵押借款净增加额,质押贷款净增加额,1
质押贷款净涨幅,质押贷款净涨幅,质押贷款净增加额,1
抵押贷款净涨幅,抵押贷款净涨幅,质押贷款净增加额,1
质押贷款增长净额,质押贷款增长净额,质押贷款净增加额,1
质押贷款净增值,质押贷款净增值,质押贷款净增加额,1
抵押贷款增长净额,抵押贷款增长净额,质押贷款净增加额,1
质押贷款净提升额,质押贷款净提升额,质押贷款净增加额,1
职工总数,职工总数,在职员工的数量合计,1
职工总人数,职工总人数,在职员工的数量合计,1
在职员工的数量合计,在职员工数量合计,在职员工的数量合计,1
员工总数,员工总数,在职员工的数量合计,1
员工人数,员工人数,在职员工的数量合计,1
支付原保险合同赔付款项的现金,支付原保险合同赔付款项现金,支付原保险合同赔付款项的现金,1
支付其他与投资活动有关的现金,支付其他与投资活动有关现金,支付其他与投资活动有关的现金,1
支付其他与经营活动有关的现金,支付其他与经营活动有关现金,支付其他与经营活动有关的现金,1
支付其他与筹资活动有关的现金,支付其他与筹资活动有关现金,支付其他与筹资活动有关的现金,1
支付利息、手续费及佣金的现金,支付利息、手续费及佣金现金,支付利息、手续费及佣金的现金,1
支付给职工以及为职工支付的现金,支付给职工以及为职工支付现金,支付给职工以及为职工支付的现金,1
支付的各项税费,支付各项税费,支付的各项税费,1
需要缴纳的税费,需要缴纳税费,支付的各项税费,1
应付税金,应付税金,支付的各项税费,1
偿还的税费,偿还税费,支付的各项税费,1
待支付税费,待支付税费,支付的各项税费,1
需支付的税款,需支付税款,支付的各项税费,1
应纳税款,应纳税款,支付的各项税费,1
要支付的税费,要支付税费,支付的各项税费,1
应交的税费,应交税费,支付的各项税费,1
支付保单红利的现金,支付保单红利现金,支付保单红利的现金,1
证券简称,证券简称,股票简称,1
股票简称,股票简称,股票简称,1
企业股名,企业股名,股票简称,1
公司股票称谓,公司股票称谓,股票简称,1
股份简易称呼,股份简易称呼,股票简称,1
上市公司简称,上市公司简称,股票简称,1
股票小名,股票小名,股票简称,1
股票别称,股票别称,股票简称,1
股份别名,股份别名,股票简称,1
证券名简称,证券名简称,股票简称,1
证券代码,证券代码,股票代码,1
股票代码,股票代码,股票代码,1
股票编号,股票编号,股票代码,1
股权代码,股权代码,股票代码,1
股权编号,股权编号,股票代码,1
股份代码,股份代码,股票代码,1
股份编号,股份编号,股票代码,1
公司股票号码,公司股票号码,股票代码,1
股市代码,股市代码,股票代码,1
上市代码,上市代码,股票代码,1
债权投资,债权投资,债权投资,1
投资债权,投资债权,债权投资,1
债权类投资,债权类投资,债权投资,1
债券投资,债券投资,债权投资,1
投资债券,投资债券,债权投资,1
投入债权,投入债权,债权投资,1
对外债权投资,对外债权投资,债权投资,1
债券型投资,债券型投资,债权投资,1
固定收入投资,固定收入投资,债权投资,1
债券资产投资,债券资产投资,债权投资,1
在建工程,在建工程,在建工程,1
在建的工程,在建工程,在建工程,1
建设中的工程,建设中工程,在建工程,1
正在建设的工程,正在建设工程,在建工程,1
进行中的工程,进行中工程,在建工程,1
现行工程项目,现行工程项目,在建工程,1
工程在建项,工程在建项,在建工程,1
施工中的项目,施工中项目,在建工程,1
开发中的工程,开发中工程,在建工程,1
工程建设中的项目,工程建设中项目,在建工程,1
预收款项,预收款项,预收款项,1
预收款,预收款,预收款项,1
预收货款,预收货款,预收款项,1
预收账款,预收账款,预收款项,1
预收款额,预收款额,预收款项,1
预收货款项,预收货款项,预收款项,1
预计负债,预计负债,预计负债,1
预测负债,预测负债,预计负债,1
预期负债,预期负债,预计负债,1
预估负债,预估负债,预计负债,1
预见负债,预见负债,预计负债,1
预料负债,预料负债,预计负债,1
预定负债,预定负债,预计负债,1
预算负债,预算负债,预计负债,1
近期预计负债,近期预计负债,预计负债,1
未来预计负债,未来预计负债,预计负债,1
预付款项,预付款项,预付款项,1
预支付款项,预支付款项,预付款项,1
预付账款,预付账款,预付款项,1
预付货款,预付货款,预付款项,1
预先支付款项,预先支付款项,预付款项,1
准备支付款项,准备支付款项,预付款项,1
已付款项,已付款项,预付款项,1
预付项,预付项,预付款项,1
先付款项,先付款项,预付款项,1
优先股,优先股,优先股,1
优先出资股,优先出资股,优先股,1
优先认购股,优先认购股,优先股,1
优先权股,优先权股,优先股,1
优先级股,优先级股,优先股,1
优先转股,优先转股,优先股,1
有优先权股份,有优先权股份,优先股,1
优先权证券,优先权证券,优先股,1
优先权出资,优先权出资,优先股,1
优先级别股份,优先级别股份,优先股,1
油气资产,油气资产,油气资产,1
石油天然气资产,石油天然气资产,油气资产,1
油气资源,油气资源,油气资产,1
石化资产,石化资产,油气资产,1
油气储备,油气储备,油气资产,1
油田资产,油田资产,油气资产,1
气田资源,气田资源,油气资产,1
石油气资源,石油气资源,油气资产,1
油气产业资产,油气产业资产,油气资产,1
石油天然气资源,石油天然气资源,油气资产,1
永续债,永续债,永续债,1
永续债券,永续债券,永续债,1
永久债,永久债,永续债,1
无期限债券,无期限债券,永续债,1
无限期债,无限期债,永续债,1
永恒债券,永恒债券,永续债,1
长期债,长期债,永续债,1
长久债券,长久债券,永续债,1
无期限债权,无期限债权,永续债,1
已赚保费,已赚保费,已赚保费,1
获得保费,获得保费,已赚保费,1
已获得的保费,已获得保费,已赚保费,1
已积累保费,已积累保费,已赚保费,1
已收取的保费,已收取保费,已赚保费,1
已赚取的保费,已赚取保费,已赚保费,1
已收取保费,已收取保费,已赚保费,1
已赚取保费,已赚取保费,已赚保费,1
已获得保费,已获得保费,已赚保费,1
获取的保费,获取保费,已赚保费,1
以摊余成本计量的金融资产终止确认收益,以摊余成本计量金融资产终止确认收益,以摊余成本计量的金融资产终止确认收益,1
一年内到期的非流动资产,一年内到期非流动资产,一年内到期的非流动资产,1
一年内到期的非流动负债,一年内到期非流动负债,一年内到期的非流动负债,1
以公允价值计量且其变动计入当期损益的金融资产,以公允价值计量且其变动计入当期损益金融资产,以公允价值计量且其变动计入当期损益的金融资产,1
以公允价值计量且其变动计入当期损益的金融负债,以公允价值计量且其变动计入当期损益金融负债,以公允价值计量且其变动计入当期损益的金融负债,1
一般风险准备,一般风险准备,一般风险准备,1
常规风险备用金,常规风险备用金,一般风险准备,1
一般风险储备,一般风险储备,一般风险准备,1
普通风险准备,普通风险准备,一般风险准备,1
标准风险准备,标准风险准备,一般风险准备,1
通用风险准备,通用风险准备,一般风险准备,1
常态风险准备,常态风险准备,一般风险准备,1
一般性风险准备,一般性风险准备,一般风险准备,1
一般的风险预备,一般风险预备,一般风险准备,1
平常风险准备,平常风险准备,一般风险准备,1
盈余公积,盈余公积,盈余公积,1
公积金盈余,公积金盈余,盈余公积,1
剩余公积金,剩余公积金,盈余公积,1
积蓄盈余,积蓄盈余,盈余公积,1
公积盈余,公积盈余,盈余公积,1
赢余公积,赢余公积,盈余公积,1
剩余的公积金,剩余公积金,盈余公积,1
赚余公积,赚余公积,盈余公积,1
积累盈余,积累盈余,盈余公积,1
累计公积金盈余,累计公积金盈余,盈余公积,1
营业总收入,营业总收入,营业总收入,1
营业收入总额,营业收入总额,营业总收入,1
总营业收入,总营业收入,营业总收入,1
营收总额,营收总额,营业总收入,1
营业总额,营业总额,营业总收入,1
营业全总收入,营业全总收入,营业总收入,1
总的营业收入,总营业收入,营业总收入,1
企业营业总收入,企业营业总收入,营业总收入,1
公司营业总收入,公司营业总收入,营业总收入,1
全部营业收入,全部营业收入,营业总收入,1
营业总成本,营业总成本,营业总成本,1
营业成本总额,营业成本总额,营业总成本,1
总营业成本,总营业成本,营业总成本,1
